"","timBiebSales","storeLocation","donutType","baselineSales"
"1",86.6798808068592,"Ontario","ChocolateWhiteFudge",63.4610414281662
"2",169.695725358128,"Ontario","ChocolateWhiteFudge",101.179607792739
"3",124.329184552728,"Ontario","ChocolateWhiteFudge",102.161248248663
"4",82.7774537010587,"Ontario","ChocolateWhiteFudge",84.7822357037939
"5",98.880001531964,"Ontario","ChocolateWhiteFudge",83.7810575048386
"6",94.7821998563981,"Ontario","ChocolateWhiteFudge",80.4642224554546
"7",125.243020784497,"Ontario","ChocolateWhiteFudge",86.3069063798868
"8",139.067679017252,"Ontario","ChocolateWhiteFudge",98.0114637311029
"9",106.035691926735,"Ontario","ChocolateWhiteFudge",83.1841823567318
"10",96.3544803426818,"Ontario","ChocolateWhiteFudge",73.3955194673838
"11",74.1228723624236,"Ontario","ChocolateWhiteFudge",73.7278715088916
"12",123.786526434298,"Ontario","ChocolateWhiteFudge",92.4916171133099
"13",146.262687913309,"Ontario","ChocolateWhiteFudge",98.3618819709672
"14",102.301733744465,"Ontario","ChocolateWhiteFudge",74.4618026077116
"15",144.590934405315,"Ontario","ChocolateWhiteFudge",94.0096862258893
"16",94.5838736827983,"Ontario","ChocolateWhiteFudge",77.4239240628281
"17",101.592718397576,"Ontario","ChocolateWhiteFudge",84.6454697016362
"18",206.169768540272,"Ontario","ChocolateWhiteFudge",106.132451186987
"19",114.196234798907,"Ontario","ChocolateWhiteFudge",101.702408614119
"20",122.649922801667,"Ontario","ChocolateWhiteFudge",88.7612374607754
"21",138.696848292142,"Ontario","ChocolateWhiteFudge",97.4187340409846
"22",68.1744970123144,"Ontario","ChocolateWhiteFudge",93.6301320831407
"23",70.0012170316557,"Ontario","ChocolateWhiteFudge",83.271873481341
"24",120.788788351501,"Ontario","ChocolateWhiteFudge",112.611363995755
"25",89.0423254969187,"Ontario","ChocolateWhiteFudge",68.4162017632377
"26",101.643742416399,"Ontario","ChocolateWhiteFudge",61.5379800318472
"27",111.686131694966,"Ontario","ChocolateWhiteFudge",66.3496604036349
"28",130.458733295614,"Ontario","ChocolateWhiteFudge",83.4868929459635
"29",73.7622520210804,"Ontario","ChocolateWhiteFudge",77.6690336138033
"30",143.058946683018,"Ontario","ChocolateWhiteFudge",88.7066524827928
"31",99.7494854271022,"Ontario","ChocolateWhiteFudge",69.5889362248445
"32",147.486565565625,"Ontario","ChocolateWhiteFudge",114.306746491098
"33",180.745350872579,"Ontario","ChocolateWhiteFudge",122.308106150187
"34",136.018001621449,"Ontario","ChocolateWhiteFudge",91.6472889867641
"35",137.246737541957,"Ontario","ChocolateWhiteFudge",87.080106088466
"36",73.8869341732262,"Ontario","ChocolateWhiteFudge",72.4624966930108
"37",132.499649120301,"Ontario","ChocolateWhiteFudge",93.5754730345082
"38",30.8107621804895,"Ontario","ChocolateWhiteFudge",51.9245280129956
"39",85.7619287523,"Ontario","ChocolateWhiteFudge",79.1272448841413
